Data Source in SDW: https://sdw.ecb.europa.eu/browse.do?node=9691112
,TGB.M.4F.E.A094T.U2.EUR.A,TGB.M.4F.E.A094T.U2.EUR.E,TGB.M.AT.N.A094T.U2.EUR.A,TGB.M.AT.N.A094T.U2.EUR.E,TGB.M.BE.N.A094T.U2.EUR.A,TGB.M.BE.N.A094T.U2.EUR.E,TGB.M.CY.N.A094T.U2.EUR.A,TGB.M.CY.N.A094T.U2.EUR.E,TGB.M.DE.N.A094T.U2.EUR.A,TGB.M.DE.N.A094T.U2.EUR.E,TGB.M.EE.N.A094T.U2.EUR.A,TGB.M.EE.N.A094T.U2.EUR.E,TGB.M.ES.N.A094T.U2.EUR.A,TGB.M.ES.N.A094T.U2.EUR.E,TGB.M.FI.N.A094T.U2.EUR.A,TGB.M.FI.N.A094T.U2.EUR.E,TGB.M.FR.N.A094T.U2.EUR.A,TGB.M.FR.N.A094T.U2.EUR.E,TGB.M.GR.N.A094T.U2.EUR.A,TGB.M.GR.N.A094T.U2.EUR.E,TGB.M.IE.N.A094T.U2.EUR.A,TGB.M.IE.N.A094T.U2.EUR.E,TGB.M.IT.N.A094T.U2.EUR.A,TGB.M.IT.N.A094T.U2.EUR.E,TGB.M.LT.N.A094T.U2.EUR.A,TGB.M.LT.N.A094T.U2.EUR.E,TGB.M.LU.N.A094T.U2.EUR.A,TGB.M.LU.N.A094T.U2.EUR.E,TGB.M.LV.N.A094T.U2.EUR.A,TGB.M.LV.N.A094T.U2.EUR.E,TGB.M.MT.N.A094T.U2.EUR.A,TGB.M.MT.N.A094T.U2.EUR.E,TGB.M.NL.N.A094T.U2.EUR.A,TGB.M.NL.N.A094T.U2.EUR.E,TGB.M.PT.N.A094T.U2.EUR.A,TGB.M.PT.N.A094T.U2.EUR.E,TGB.M.SI.N.A094T.U2.EUR.A,TGB.M.SI.N.A094T.U2.EUR.E,TGB.M.SK.N.A094T.U2.EUR.A,TGB.M.SK.N.A094T.U2.EUR.E,TGB.M.U4.N.A094T.U2.EUR.A,TGB.M.U4.N.A094T.U2.EUR.E
2013Mar,-4239.98,-3946.56,-37225.57,-40422.22,-14524.98,-10623.49,-9018.40,-9302.06,609850.08,588722.24,1589.91,1485.90,-298374.66,-296902.31,39135.70,34083.56,-64522.41,-26982.17,-72828.49,-71400.03,-64671.15,-60059.51,-252428.96,-242939.26,-,-,102358.42,102654.97,-,-,336.98,618.20,111973.45,82766.01,-63987.18,-63225.05,-4912.88,-4951.83,4776.28,4810.37,16713.84,15613.25
2013Feb,-6697.08,-4455.35,-41290.24,-42696.81,-20896.91,-16841.63,-7736.96,-8177.49,628254.11,612572.17,1585.05,1576.53,-308008.23,-297127.98,42837.54,43179.54,-60525.67,-60312.02,-83146.42,-78140.20,-70612.08,-67922.62,-257841.73,-256397.22,-,-,103962.63,98132.98,-,-,294.96,397.76,126535.71,121102.65,-63626.97,-63369.31,-5062.81,-5110.67,2932.95,5374.57,19042.16,18215.10
2013Jan,-2975.20,-6444.32,-39558.29,-43231.95,-28043.27,-24415.61,-7638.60,-7463.98,654897.22,616937.24,1372.72,1574.23,-333038.98,-309414.22,52459.54,44316.15,-64675.32,-63764.70,-94523.39,-87022.16,-76502.62,-70867.20,-248295.00,-228162.88,-,-,101638.41,99039.50,-,-,16.43,407.63,132430.45,124929.54,-65940.42,-62922.83,-4759.29,-4796.94,522.33,1086.06,22613.28,20216.42
2012Dec,-543.18,-2196.49,-37247.35,-39926.36,-36388.33,-38160.89,-8409.16,-7468.26,703003.98,655669.74,799.19,1740.60,-352796.16,-337344.47,61041.51,70603.37,-79928.88,-54799.30,-103788.69,-98355.19,-81530.15,-79259.18,-243399.70,-255101.90,-,-,103489.26,106160.49,-,-,-55.92,-201.26,122109.28,120771.92,-66655.06,-66025.85,-4686.62,-4438.76,1808.02,887.16,23177.97,27444.65
2012Nov,566.26,571.00,-38550.86,-39203.14,-34625.88,-34471.47,-10115.86,-9010.49,738794.00,715123.89,672.74,594.04,-376267.79,-366048.31,60356.66,51812.50,-64850.75,-58962.71,-108471.80,-108459.76,-84110.78,-83046.17,-263566.42,-246954.73,-,-,111886.18,105278.98,-,-,-354.62,-137.51,120708.22,118629.96,-69245.50,-66608.75,-4638.27,-4653.32,-314.29,854.59,22128.74,24691.39
2012Oct,815.97,1057.39,-40714.86,-40733.84,-39543.80,-39303.58,-9903.60,-9857.33,734769.00,719351.98,722.36,683.31,-383604.96,-380436.66,63578.43,75770.77,-34107.32,-40983.11,-108278.86,-108395.93,-86016.36,-84844.64,-274059.13,-266742.38,-,-,114963.73,109363.39,-,-,-389.08,-467.15,117384.13,117921.22,-71105.72,-69600.93,-5651.61,-4159.38,-1537.04,-2148.38,22678.71,23525.26
2012Sep,4334.47,628.74,-39471.15,-40713.61,-33411.09,-29084.96,-10081.22,-9926.04,738661.33,695458.43,702.55,637.17,-419847.09,-400140.76,68110.95,70401.78,-22270.19,6138.49,-107388.78,-107839.91,-88255.40,-84412.83,-283046.47,-280767.47,-,-,121523.99,113140.32,-,-,-957.17,-532.69,128091.28,119481.19,-71033.66,-71723.21,-5780.84,-5737.28,-2098.69,-1551.75,22217.18,26544.38
2012Aug,12709.96,9525.86,-40549.50,-42573.45,-40429.17,-35782.88,-10473.84,-10219.18,748811.82,751449.18,718.27,674.78,-428616.86,-434427.77,59944.21,62481.29,-13058.94,7178.07,-105887.27,-107876.06,-90957.97,-91409.20,-284935.58,-289320.07,-,-,124406.81,116561.72,-,-,-1262.77,-1233.59,132024.45,124968.44,-70977.42,-72026.70,-5766.04,-5818.74,-3115.35,-2540.57,17415.20,20388.87
2012Jul,13444.27,15120.62,-40138.46,-41045.53,-42054.74,-41090.88,-10810.64,-10433.54,739159.23,727206.15,770.36,774.59,-414619.46,-423272.35,60511.42,59139.99,-19429.58,4021.05,-104605.42,-105044.04,-96328.95,-94063.72,-281879.05,-280092.85,-,-,128302.44,123996.93,-,-,-1200.46,-1356.04,141296.77,130420.19,-73031.49,-72515.46,-5473.99,-5754.33,-4652.77,-4072.87,10740.53,18062.09
2012Jun,9194.29,11928.49,-41543.85,-39083.54,-36497.62,-31069.09,-11378.54,-11272.87,736729.98,728566.72,705.29,698.78,-371808.30,-408419.79,56687.75,72473.68,-56962.94,-10176.71,-105527.08,-105987.46,-99634.51,-100092.21,-277228.87,-274291.30,-,-,129232.27,125259.65,-,-,-1202.16,-1132.84,144502.54,123299.44,-66898.74,-74323.74,-5179.78,-5166.04,-5318.16,-5269.69,2128.45,4058.53
2012May,5254.59,7409.73,-41290.70,-42639.92,-38750.45,-38406.81,-8770.47,-10779.86,658023.54,698567.10,753.38,723.05,-319309.74,-345105.51,56956.74,53683.10,-37462.86,-44207.25,-98918.82,-101554.51,-98912.09,-97204.15,-276890.20,-274626.23,-,-,130797.74,123990.43,-,-,-887.33,-1223.77,145629.35,142510.64,-66656.51,-62689.55,-5352.07,-5297.16,-6079.87,-5733.14,1865.78,2583.80
2012Apr,4215.69,3682.41,-39967.46,-41545.68,-40823.02,-34972.52,-8392.64,-8445.12,614567.56,644182.01,778.35,787.38,-285011.93,-302840.66,59455.98,61993.79,-35813.75,-22890.57,-99887.24,-98046.82,-96620.99,-98688.06,-266203.12,-279378.78,-,-,121378.23,120297.43,-,-,-683.42,-695.86,154725.95,136050.42,-70845.28,-68809.61,-5431.19,-5472.26,-7436.91,-7269.44,1995.20,2061.93
2012Mar,15374.39,2934.66,-37352.63,-37914.14,-42208.74,-38588.88,-9189.23,-7962.10,604170.54,615591.53,614.79,617.62,-252097.25,-276033.43,56991.97,73143.58,-69544.50,-46070.60,-105716.20,-103735.62,-101018.56,-96000.70,-255440.23,-270408.14,-,-,116818.93,115105.64,-,-,-724.02,-1096.34,161950.42,154905.16,-70921.87,-74538.27,-5024.55,-5366.09,-8814.51,-8048.38,2131.26,3464.50
2012Feb,43843.31,43700.70,-37073.58,-35802.99,-52275.39,-52481.63,-9224.24,-10160.48,517550.44,547046.72,602.86,475.12,-196896.27,-211425.46,48848.08,44198.03,-113340.49,-93289.51,-107108.32,-107267.02,-102204.66,-96732.92,-190468.11,-194081.59,-,-,104195.42,98297.22,-,-,-636.30,-583.23,170037.09,143765.94,-63641.14,-63978.28,-3794.52,-4060.20,-10534.37,-10051.64,2120.21,2431.23
2012Jan,40324.84,40486.21,-36784.00,-34978.42,-52359.13,-52248.18,-9044.50,-8983.44,495901.69,498131.36,592.16,558.83,-175940.28,-183786.26,52739.61,51456.56,-126492.65,-113666.33,-105460.99,-107426.56,-113343.25,-106282.84,-186888.93,-180129.68,-,-,109920.13,103525.34,-,-,-537.35,-737.23,181436.14,168882.51,-61177.63,-62645.71,-3217.16,-3297.73,-12398.83,-11009.60,2730.11,2151.15
2011Dec,18425.90,42158.68,-33823.60,-34590.88,-50223.26,-52867.17,-8683.21,-7907.75,497132.10,463134.19,611.10,637.98,-150053.20,-174978.70,47097.09,66008.14,-111895.65,-77423.73,-105746.97,-104750.00,-120891.83,-120433.86,-159076.12,-191379.25,-,-,97714.17,109423.24,-,-,-348.87,-422.46,154263.38,152782.81,-62593.24,-60923.11,-2778.96,-2733.49,-11256.37,-13622.09,2127.55,7887.45
2011Nov,-17726.25,-16809.26,-30781.10,-30690.78,-42320.16,-43132.43,-8150.44,-8745.60,473145.10,495164.18,484.00,493.09,-119540.54,-137178.03,33695.47,41868.93,-95644.86,-88685.53,-107691.83,-109315.07,-117859.73,-120321.95,-116655.00,-147535.09,-,-,93080.61,97387.17,-,-,-456.33,-338.44,128994.73,143057.60,-60287.73,-61718.87,-2691.71,-2634.78,-10823.78,-11464.02,1229.55,598.88
2011Oct,-17082.58,-17218.80,-31632.61,-27044.24,-33130.89,-42357.06,-8826.02,-8096.78,440895.30,465517.94,367.25,469.86,-93640.45,-108487.59,32274.75,25759.68,-108678.93,-98529.74,-102712.40,-105688.18,-120042.31,-117071.95,-91150.30,-88598.05,-,-,82927.58,83240.52,-,-,-577.48,-686.74,120148.43,110093.23,-57052.52,-58731.76,-2417.61,-2553.12,-10547.90,-10875.76,878.69,858.55
2011Sep,-18366.05,-17563.15,-33357.24,-31915.23,-22534.57,-24111.31,-7872.27,-8581.81,405593.81,449612.81,92.47,86.00,-82810.35,-88620.40,22380.22,43419.97,-56792.22,-97730.42,-98466.83,-100754.49,-122416.09,-123320.65,-84812.35,-103511.09,-,-,77524.84,84257.10,-,-,-544.33,-574.27,94148.36,88704.54,-60375.58,-57235.02,-2225.83,-2334.56,-9586.68,-11004.78,420.68,1176.73
2011Aug,-20788.14,-21545.07,-32239.04,-33568.32,-20293.38,-22967.08,-7117.22,-7323.81,370531.22,390424.43,74.94,48.20,-69879.98,-78224.36,13228.09,18359.54,-27513.82,-33488.59,-93775.32,-97450.19,-124003.67,-119204.34,-52064.42,-57468.61,-,-,78240.61,72235.49,-,-,-756.04,-453.75,58705.45,64750.28,-60734.12,-62535.94,-2192.30,-2306.39,-9705.66,-9631.13,282.82,349.65
2011Jul,-20476.16,-20446.33,-32821.11,-31869.19,-18195.19,-19604.94,-6925.19,-7297.66,333029.06,343662.26,70.80,54.31,-53344.31,-56671.37,6742.38,6004.99,-18231.03,-7405.73,-94109.93,-91202.25,-128322.00,-126586.01,-3689.35,-16312.17,-,-,76738.47,76291.11,-,-,-1406.86,-1453.99,34421.37,27802.28,-58779.72,-61945.24,-2038.85,-2082.95,-12930.62,-11246.80,268.25,309.67
2011Jun,-20923.37,-20659.59,-34229.64,-35071.80,-16882.99,-21285.43,-7301.58,-6369.62,327117.55,336540.70,-72.69,-147.92,-47536.08,-45360.66,6556.17,14566.40,-22147.15,-18318.45,-95024.99,-96802.45,-128283.67,-128649.18,15833.63,5997.08,-,-,69410.22,69769.35,-,-,-1320.14,-1862.23,29579.96,20541.06,-60433.11,-57258.71,-2043.62,-1945.71,-12550.07,-14132.79,251.57,449.96
2011May,-21290.88,-21108.32,-33436.46,-34245.49,-7536.89,-13372.53,-6683.51,-7032.66,311515.47,323641.36,83.81,123.72,-50085.35,-53063.12,6123.36,7040.70,-18191.37,-28879.32,-86537.82,-91349.44,-130195.39,-125680.19,7272.66,13865.92,-,-,72402.22,70864.57,-,-,-1318.70,-1249.41,40454.91,39838.42,-69133.02,-66537.58,-1773.67,-1738.73,-11939.13,-11548.38,269.76,430.48
2011Apr,-21336.93,-21357.68,-32566.17,-31597.23,-12037.05,-13180.58,-6654.53,-6773.84,310773.68,309107.45,68.16,-178.02,-43386.36,-37533.20,4788.37,4812.86,-21961.31,-22666.46,-80166.21,-83036.73,-132197.82,-132673.90,4525.17,12018.58,-,-,74318.66,68162.58,-,-,-1294.44,-1388.31,33986.10,38407.70,-63911.38,-68843.70,-1840.26,-1696.38,-11390.34,-11936.17,282.65,353.02
2011Mar,-21228.29,-20995.87,-32524.79,-32801.32,-12065.28,-13441.82,-7082.29,-7029.82,308394.68,323228.61,50.24,77.36,-40606.42,-40028.01,5284.58,8822.99,-20198.53,-22420.36,-80659.54,-76455.14,-141179.60,-139624.23,15548.19,823.26,-,-,74009.70,68588.75,-,-,-1246.29,-1284.23,27792.81,25392.17,-61041.47,-60315.88,-1985.32,-1277.34,-11539.01,-11782.34,276.64,523.22
2011Feb,-21678.70,-20371.34,-31563.30,-29139.39,-12570.12,-13639.31,-6781.14,-7191.14,308863.51,320709.55,-232.15,-202.90,-43381.80,-42965.59,6313.98,4073.70,-15784.00,-25812.23,-85158.53,-85859.72,-136492.16,-140993.24,10284.91,19634.26,-,-,69420.14,69729.66,-,-,-1364.89,-1264.94,36510.26,29146.07,-62072.39,-62211.65,-2205.03,-1927.43,-12357.90,-12071.03,249.30,356.67
2011Jan,-20931.88,-21037.22,-27892.70,-30443.75,-13142.63,-13009.96,-6756.73,-6833.41,307607.41,302629.65,-452.17,-341.36,-51551.19,-48086.44,9752.60,5219.06,-22732.05,-18703.87,-88189.25,-87308.78,-141410.35,-134149.90,22566.88,27700.25,-,-,69372.07,67945.13,-,-,-1217.47,-1319.28,40683.07,34419.13,-60769.35,-62188.69,-2326.33,-2248.19,-12907.16,-12768.10,297.25,525.71
2010Dec,-20295.86,-22369.74,-25593.01,-27467.06,-12657.38,-13855.83,-7433.04,-6444.23,305991.51,325556.43,-,-,-50767.58,-50922.53,11875.43,19685.53,-18097.35,-28348.77,-89256.61,-87088.09,-144389.76,-145185.18,22964.53,3410.28,-,-,69327.39,67923.76,-,-,-889.71,-1222.58,34123.35,40499.85,-59766.85,-59912.24,-2734.73,-2092.63,-12833.89,-13311.47,433.56,1144.49
2010Nov,-18707.06,-19212.45,-25946.04,-25754.11,-12825.24,-16736.45,-7808.58,-8202.49,292806.69,299445.22,-,-,-42571.10,-42955.57,5151.98,6844.46,-16675.49,-11771.66,-90697.91,-93537.35,-127087.53,-138506.81,22580.73,30524.16,-,-,68499.41,66870.97,-,-,-1026.22,-1068.50,26959.40,28583.53,-57138.04,-58619.61,-3029.72,-2971.71,-12803.39,-13351.05,318.10,419.42
2010Oct,-18280.44,-18263.87,-25289.64,-25040.64,-14822.37,-13938.53,-8890.03,-8989.25,292181.07,286663.75,-,-,-49480.54,-43038.26,4035.90,4414.47,-22958.96,-23079.59,-87582.12,-91573.26,-112111.86,-116649.37,24134.47,29943.48,-,-,67454.36,68608.84,-,-,-1107.74,-1168.56,28642.50,28146.06,-60187.25,-60512.59,-2935.78,-3046.34,-13551.58,-12982.68,750.02,506.34
2010Sep,-18110.37,-18400.03,-26026.19,-26224.95,-17504.96,-17198.52,-8550.66,-8949.44,280378.12,309980.47,-,-,-77026.13,-59130.60,4871.80,6264.04,-19715.32,-31390.77,-88692.19,-87868.28,-81760.25,-103697.82,31246.30,15459.59,-,-,67623.97,67021.80,-,-,-946.95,-1067.24,36435.84,32543.37,-65910.51,-61293.43,-3101.45,-2717.20,-14262.45,-14451.11,1051.40,1120.12
2010Aug,-17521.30,-18010.61,-24567.02,-25104.71,-19577.43,-19876.84,-8492.28,-9336.77,271701.99,282598.75,-,-,-88650.78,-84096.54,9425.36,3339.02,-20182.81,-26362.29,-91115.87,-94044.33,-55611.75,-65159.27,15693.80,28135.96,-,-,74735.54,67460.72,-,-,-916.22,-836.50,39120.52,46192.47,-67964.78,-68859.93,-2945.83,-3044.02,-14190.26,-14161.49,1059.11,1166.39
2010Jul,-16910.16,-16994.04,-25050.75,-23787.96,-23450.99,-24284.47,-8304.22,-8346.00,255490.28,271224.97,-,-,-102619.76,-102066.28,11587.70,15931.52,-22147.83,-19889.45,-88036.66,-90782.51,-54335.21,-53636.23,32822.37,33601.03,-,-,78798.59,68497.37,-,-,-920.99,-1202.48,42137.53,35479.64,-63310.97,-68158.12,-2826.96,-2711.13,-14109.09,-13928.78,1187.12,1052.93
2010Jun,-13702.10,-16433.03,-32088.96,-34333.14,-37911.69,-34552.13,-9292.14,-7764.83,248455.83,249416.90,-,-,-92398.91,-105618.10,16688.39,29533.79,-20036.88,8674.45,-82281.17,-84711.54,-61022.23,-65665.79,23942.98,21839.38,-,-,71710.72,81669.17,-,-,-641.97,-862.54,60908.71,33182.19,-55946.23,-58087.14,-3124.95,-3094.42,-14817.86,-15038.13,1558.46,1844.92
2010May,-5727.95,-6920.32,-29971.53,-32256.95,-37202.20,-41421.37,-9211.07,-9828.38,230670.16,255465.34,-,-,-55084.59,-78140.69,8682.31,12652.58,-38807.50,-29607.51,-80312.13,-79500.47,-51581.55,-58472.10,32276.96,35073.15,-,-,61907.06,63985.31,-,-,-810.14,-837.58,33365.47,38987.66,-42549.68,-52814.25,-2945.38,-3123.50,-14316.62,-14880.26,1618.38,1639.34
2010Apr,-6510.57,-6714.20,-27265.57,-26638.32,-35667.68,-32799.33,-8566.53,-9040.08,197893.60,213678.40,-,-,-41315.91,-35739.13,5359.87,6032.63,-49943.47,-52553.83,-70279.68,-82603.80,-39730.13,-41816.25,49707.88,43915.60,-,-,55496.32,55936.22,-,-,-663.15,-733.14,17141.80,17712.70,-30747.94,-33790.78,-2762.36,-2562.54,-13820.45,-14146.95,1673.96,1862.81
2010Mar,-5780.01,-6268.59,-27361.78,-31746.03,-34471.07,-41043.21,-8521.74,-9082.25,194463.91,207417.81,-,-,-47980.63,-43305.44,5517.17,5644.31,-57650.89,-54229.49,-57893.24,-60919.20,-38205.90,-38062.83,46204.53,48702.16,-,-,54618.53,52711.32,-,-,-649.72,-812.83,19767.24,13635.96,-26634.05,-27712.42,-2894.59,-2758.74,-14344.98,-14466.46,1817.22,2295.93
2010Feb,-4189.90,-4462.82,-25033.22,-25340.86,-36186.17,-39509.55,-7645.94,-8271.99,185865.89,197483.01,-,-,-40277.86,-41702.64,3082.57,4015.26,-70717.10,-63589.87,-47313.85,-53455.34,-43711.14,-47040.46,52863.56,62104.46,-,-,52005.55,50807.13,-,-,-647.24,-791.81,23459.46,14952.12,-25764.78,-28636.00,-2907.44,-3001.27,-14662.75,-15297.95,1780.34,1738.59
2010Jan,-557.79,-3546.50,-21996.57,-23495.01,-33360.11,-33822.39,-7275.80,-8001.22,178977.67,177759.59,-,-,-38790.12,-37404.89,5243.60,2084.27,-77812.99,-77891.14,-48525.96,-48233.49,-50559.24,-51575.05,60104.46,77579.21,-,-,52343.44,50319.87,-,-,-679.61,-773.79,21693.58,14480.45,-23033.63,-22176.17,-3259.79,-2439.66,-14256.08,-14615.14,1744.95,1751.06
2009Dec,7510.36,3971.30,-23587.42,-19630.18,-36733.62,-42519.76,-5384.97,-7121.97,164728.22,177722.51,-,-,-33627.43,-41135.02,2306.26,9534.82,-73655.25,-62007.93,-43332.23,-49036.06,-44058.82,-53518.91,63517.56,54753.36,-,-,49218.83,52499.63,-,-,-814.04,-813.71,13029.96,15428.68,-23295.57,-23436.35,-3259.74,-3344.62,-14934.85,-14520.63,2372.76,3174.84
2009Nov,20755.83,17767.28,-25555.44,-26136.26,-37104.10,-39282.12,-4947.96,-5226.11,157995.49,160779.67,-,-,-32266.91,-29553.89,-728.67,-1614.35,-75197.80,-81544.78,-37298.86,-37870.34,-39976.40,-36567.15,58512.47,59995.46,-,-,47586.45,48361.13,-,-,-596.39,-674.81,7645.56,11101.29,-22514.94,-23516.98,-3083.52,-3027.12,-15530.50,-15467.81,2305.71,2476.87
2009Oct,30384.02,23529.89,-23777.14,-25928.38,-44181.83,-42799.88,-5497.49,-5541.37,156671.65,154346.41,-,-,-44088.36,-41216.91,-456.53,-1664.97,-79394.35,-81530.00,-39884.48,-40832.08,-42696.30,-41105.74,73094.40,81503.72,-,-,45031.47,47250.53,-,-,-237.57,-337.78,12705.12,13246.31,-20771.54,-22209.99,-3015.80,-3055.70,-15635.11,-15987.99,1749.83,2333.94
2009Sep,42827.09,35914.93,-21992.78,-24808.37,-49612.39,-53356.03,-6802.95,-6130.66,166367.22,179035.04,-,-,-48155.32,-47375.91,1931.31,-379.67,-85383.03,-92335.71,-35705.46,-38654.81,-51755.27,-50264.40,68141.26,82168.72,-,-,44363.73,55733.22,-,-,-242.05,-307.15,10620.88,-2104.06,-18055.74,-20292.29,-2990.94,-2938.70,-15293.67,-15764.87,1738.10,1860.73
2009Aug,48252.42,46627.75,-21225.68,-20192.18,-51750.56,-48870.50,-8123.24,-8298.67,162834.08,159718.38,-,-,-42473.73,-45374.70,654.42,-579.69,-63917.10,-74894.79,-37561.46,-36092.99,-64741.40,-56359.82,52780.84,61438.15,-,-,44444.31,44670.00,-,-,109.39,-2.39,15166.26,14558.76,-17347.09,-19636.29,-3526.39,-3302.95,-15310.51,-15180.08,1735.44,1772.01
2009Jul,61152.17,48865.13,-23340.47,-22414.97,-52993.39,-54677.04,-7925.85,-8192.38,160950.25,161956.23,-,-,-31501.08,-39275.33,2326.89,1199.61,-61872.68,-49149.74,-41879.37,-38128.54,-81365.65,-72578.61,60152.71,66968.34,-,-,40789.98,41424.39,-,-,249.16,370.08,7954.81,-957.52,-15483.08,-17891.58,-3652.92,-3474.15,-15199.71,-15853.42,1638.23,1809.48
2009Jun,84972.05,69016.91,-21885.69,-26646.40,-60221.30,-55941.51,-8449.85,-8869.87,141467.93,171052.13,-,-,-29812.85,-35259.89,1763.15,4990.06,-51338.69,-50211.06,-37229.91,-44721.81,-91821.31,-98793.53,70390.25,73591.07,-,-,32487.25,33971.62,-,-,-152.51,232.38,1188.20,-1469.06,-14658.32,-13662.27,-3063.64,-3707.97,-14856.34,-14993.67,1221.58,1422.84
2009May,121661.35,110431.72,-20608.98,-23545.79,-77804.41,-73683.14,-7923.50,-8872.79,145978.29,139664.01,-,-,-26439.20,-26938.99,1558.20,4008.86,-62524.73,-46474.86,-38236.07,-38535.59,-93316.34,-98331.58,56503.80,72635.03,-,-,33453.91,30752.19,-,-,-24.71,-144.74,-1560.83,-8673.74,-15200.02,-15925.89,-2803.81,-3055.55,-13963.07,-14544.93,1250.12,1235.79
2009Apr,149819.06,132066.22,-22755.75,-22967.10,-81544.43,-83128.59,-6927.00,-7555.41,134320.93,151774.18,-,-,-29491.35,-25761.61,1930.12,592.83,-73665.70,-60029.41,-39107.46,-46774.57,-91750.39,-98158.34,63436.63,67299.91,-,-,29902.24,31672.46,-,-,17.97,325.11,-4048.46,-8308.72,-15787.85,-16070.30,-2628.61,-2756.77,-12939.34,-13441.33,1219.39,1221.45
2009Mar,154762.92,163151.41,-25450.58,-27415.07,-84019.87,-87011.58,-7082.36,-8384.81,145836.69,151680.72,-,-,-38495.68,-32140.34,1226.24,1453.42,-81770.92,-81345.22,-32942.35,-36851.52,-83946.73,-92053.65,62500.11,70016.25,-,-,26295.14,33899.90,-,-,188.46,-57.07,-8007.83,-23477.46,-14967.35,-17168.69,-2802.02,-2971.52,-11990.28,-12622.48,666.40,1297.72
2009Feb,177877.77,148597.58,-28576.22,-26206.28,-86790.07,-85541.47,-6014.12,-6682.47,128029.61,147303.88,-,-,-38001.38,-37521.99,2151.70,4951.48,-96643.47,-90516.68,-33140.54,-31968.06,-50078.20,-64050.37,36393.89,54902.33,-,-,27549.09,28232.42,-,-,656.48,857.42,-4701.03,-11798.23,-15497.68,-16377.79,-2937.80,-2727.12,-10478.23,-11654.49,200.21,199.83
2009Jan,216565.75,172542.75,-36485.20,-32138.44,-94773.63,-84809.70,-5985.14,-6662.27,106195.78,133692.35,-,-,-29484.68,-32549.91,4117.90,1821.18,-123458.33,-107163.39,-34940.35,-35310.68,-41993.43,-44750.79,39536.22,50650.30,-,-,33243.99,24628.65,-,-,83.01,750.01,-4941.93,-11970.93,-17143.87,-15974.07,-3758.39,-3581.17,-6991.65,-9387.25,213.95,213.37
2008Dec,236960.64,234888.54,-37233.18,-35699.24,-98312.13,-104233.27,-5839.03,-6542.39,96343.05,115294.73,-,-,-27724.94,-34988.89,5267.72,5197.48,-134321.44,-117683.98,-29870.53,-35348.31,-39870.87,-44363.65,29558.81,22919.28,-,-,28361.57,42120.98,-,-,-354.66,-664.94,-1640.99,-18786.48,-18000.50,-18952.81,-3634.23,-3569.81,-,-,310.70,412.77
2008Nov,233630.86,219188.24,-39061.09,-37527.77,-91317.69,-83471.21,-5864.97,-5631.57,91503.38,93376.88,-,-,-15383.08,-26461.11,-123.01,-588.42,-122421.47,-119078.99,-24435.76,-26017.87,-40317.35,-45092.68,26376.17,26799.83,-,-,13268.55,22084.76,-,-,-632.86,-559.82,-4625.53,5097.32,-17210.46,-18669.98,-3588.21,-3699.03,-,-,202.54,251.44
2008Oct,152727.68,238123.27,-31304.54,-38594.29,-81669.29,-90870.90,-4972.16,-5885.47,94577.18,70196.04,-,-,-11844.43,-18329.62,-216.10,-1745.21,-89664.89,-107233.84,-18170.27,-21272.28,-35725.31,-42264.97,33068.12,25816.23,-,-,11402.29,6150.90,-,-,-932.07,-710.56,1761.42,7087.55,-15909.79,-17153.29,-3315.55,-3491.12,-,-,187.72,177.55
2008Sep,51794.15,101716.85,-23780.94,-24545.39,-59551.87,-103913.62,-2664.38,-3800.10,102308.93,99957.52,-,-,-21117.76,-23970.00,-1200.94,702.06,-69064.45,-54288.94,-15617.86,-14497.43,-18883.73,-25832.92,52496.40,39719.93,-,-,19378.49,16924.35,-,-,-1071.54,-970.25,6020.82,10415.87,-15443.16,-14220.55,-3786.48,-3584.28,-,-,184.34,186.89
2008Aug,36493.87,36400.52,-20967.12,-25690.37,-52049.07,-55600.17,-2409.35,-2668.67,105434.62,108085.23,-,-,-20633.94,-25538.58,-1558.26,-2762.50,-75614.18,-73477.12,-16757.13,-15552.54,-13545.45,-15055.41,57053.14,67574.05,-,-,18555.16,18200.27,-,-,-1039.63,-1058.78,4968.16,7272.87,-14346.36,-16502.93,-3754.54,-3802.70,-,-,170.10,176.83
2008Jul,34355.94,34142.35,-20036.14,-18960.41,-47405.96,-56636.01,-2124.62,-2794.79,100452.66,94241.33,-,-,-18769.80,-19917.19,-1673.47,-2981.43,-69801.38,-66121.80,-17296.57,-17523.54,-12712.36,-13491.29,54725.04,58402.89,-,-,15528.01,16154.41,-,-,-892.61,-1006.26,2156.32,13329.47,-13027.24,-13370.96,-3660.92,-3641.85,-,-,183.10,175.07
2008Jun,34163.99,34238.79,-23252.53,-24658.99,-48525.97,-56768.90,-2021.31,-2066.21,91250.63,95534.57,-,-,-8302.34,-11893.53,-1504.77,-3279.66,-60451.24,-67582.52,-18611.21,-21796.00,-3730.13,-4986.42,40641.50,48878.62,-,-,15840.81,9067.99,-,-,-816.35,-852.85,1497.91,21912.43,-12788.36,-12605.82,-3581.89,-3580.56,-,-,191.25,439.06
